Time, Temperature, Mag X, Mag Y, Mag Z, Gyro X, Gyro Y, Gyro Z, Acc X, Acc Y, Acc Z, Lin Acc X, Lin Acc Y, Lin Acc Z, Gravity X, Gravity Y, Gravity Z, Euler X, Euler Y, Euler Z
1.545,30,-78.375,-14.250,18.063,-31.563,3.625,8.625,0.180,-2.030,-10.120,0.200,0.800,-19.510,-0.020,-2.830,9.380,356.625,-0.188,17.063
11.697,30,-140.188,-32.188,64.000,-3.313,-1.625,4.000,-1.480,-1.720,-9.050,0.200,0.110,0.420,-1.680,-2.070,-9.430,180.937,-9.875,167.562
11.73,30,-139.000,-31.875,65.062,-5.813,6.313,4.438,-1.600,-1.820,-9.650,0.080,0.050,-0.180,-1.660,-2.030,-9.440,181.062,-9.750,167.812
11.773,30,-139.000,-31.875,65.062,-15.688,3.000,17.000,-1.610,-1.400,-10.230,0.040,0.480,-0.750,-1.660,-1.890,-9.470,181.625,-9.750,168.687
11.794,30,-139.750,-32.188,63.563,-3.000,-10.688,6.688,-1.350,-2.030,-9.290,0.330,-0.160,0.180,-1.680,-1.870,-9.470,181.750,-9.875,168.813
11.818,30,-139.750,-32.188,63.563,2.250,-13.125,12.375,-1.320,-1.460,-8.890,0.420,0.400,0.560,-1.740,-1.870,-9.460,182.062,-10.313,168.813
11.839,30,-138.250,-32.563,64.875,1.250,-2.000,6.500,-1.520,-1.730,-9.430,0.240,0.130,0.020,-1.760,-1.870,-9.460,182.125,-10.313,168.813
11.884,30,-138.250,-32.563,64.875,3.625,-0.938,-2.563,-1.620,-2.030,-9.110,0.130,-0.130,0.340,-1.760,-1.890,-9.450,182.125,-10.375,168.687
11.907,30,-138.250,-32.563,64.875,2.313,3.375,-0.875,-1.590,-1.830,-9.430,0.160,0.060,0.020,-1.750,-1.900,-9.450,182.125,-10.250,168.625
11.931,30,-138.250,-32.188,64.563,2.063,2.250,-1.813,-1.530,-2.060,-9.220,0.240,0.060,0.240,-1.740,-1.910,-9.450,182.062,-10.188,168.562
11.982,30,-139.375,-32.188,65.375,2.313,-0.750,-3.188,-1.630,-2.080,-9.520,0.100,-0.160,-0.070,-1.730,-1.920,-9.450,182.000,-10.188,168.500
12.004,30,-139.375,-32.188,65.375,1.750,-1.688,-0.500,-1.530,-1.700,-9.320,0.210,0.210,0.130,-1.740,-1.920,-9.450,182.000,-10.250,168.437
12.029,30,-138.687,-31.875,64.688,1.500,-1.375,-1.625,-1.600,-2.130,-9.560,0.140,-0.200,-0.100,-1.740,-1.930,-9.450,182.000,-10.250,168.375
