Time, Temperature, Mag X, Mag Y, Mag Z, Gyro X, Gyro Y, Gyro Z, Acc X, Acc Y, Acc Z, Lin Acc X, Lin Acc Y, Lin Acc Z, Gravity X, Gravity Y, Gravity Z, Euler X, Euler Y, Euler Z
1.914,29,-40.563,-12.500,13.188,1.125,-1.000,1.313,-0.350,0.220,-9.750,-0.290,0.110,0.080,-0.100,0.080,-9.800,267.625,-0.625,-179.437
7.07,30,-135.750,-39.563,13.250,0.875,-0.125,-0.438,-0.290,-0.090,-9.630,0.090,-0.020,0.230,-0.410,-0.060,-9.790,268.187,-2.375,179.562
7.104,30,-135.750,-39.563,13.250,-1.000,-2.000,-1.125,-0.250,-0.050,-9.580,0.160,0.000,0.210,-0.420,-0.060,-9.790,268.125,-2.438,179.562
7.147,30,-135.500,-39.563,12.563,1.125,-3.188,-0.563,-0.340,0.000,-9.340,0.090,0.050,0.440,-0.440,-0.060,-9.790,268.125,-2.563,179.562
7.171,30,-135.750,-39.250,14.063,-1.313,-1.125,-1.875,-0.340,-0.010,-9.570,0.100,0.040,0.220,-0.440,-0.060,-9.790,268.062,-2.625,179.625
7.192,30,-135.750,-39.250,14.063,-1.188,-3.313,-1.813,-0.380,0.020,-9.680,0.080,0.080,0.100,-0.460,-0.060,-9.790,268.062,-2.688,179.625
7.216,30,-135.750,-39.250,14.063,-1.250,-3.188,-1.500,-0.360,0.000,-9.640,0.100,0.060,0.140,-0.470,-0.050,-9.790,268.000,-2.750,179.625
7.257,30,-136.063,-40.000,13.000,0.313,0.438,-0.250,-0.420,0.030,-9.560,0.040,0.090,0.230,-0.470,-0.050,-9.790,268.000,-2.750,179.625
7.279,30,-135.375,-39.250,14.375,-0.625,-0.063,-0.438,-0.420,0.010,-9.630,0.040,0.070,0.150,-0.470,-0.050,-9.790,268.000,-2.750,179.625
7.303,30,-135.375,-39.250,14.375,-1.125,0.188,-0.063,-0.310,0.080,-9.800,0.150,0.130,0.000,-0.470,-0.050,-9.790,268.000,-2.750,179.688
7.327,30,-135.000,-39.563,13.188,0.813,1.750,1.813,-0.250,0.030,-9.650,0.210,0.090,0.140,-0.470,-0.050,-9.790,268.000,-2.750,179.625
7.372,30,-135.375,-40.000,11.250,0.000,6.875,2.188,-0.290,0.020,-9.630,0.130,0.070,0.150,-0.430,-0.050,-9.790,268.125,-2.438,179.625
7.393,30,-135.375,-40.000,11.250,0.563,7.688,1.813,-0.260,0.070,-9.450,0.130,0.130,0.340,-0.390,-0.050,-9.790,268.125,-2.313,179.625
7.417,30,-135.375,-40.000,11.250,1.750,6.750,2.563,-0.300,0.010,-9.470,0.070,0.080,0.320,-0.370,-0.060,-9.790,268.187,-2.188,179.625
7.458,30,-135.375,-40.000,12.875,1.563,2.813,1.375,-0.310,-0.040,-9.370,0.020,0.030,0.420,-0.340,-0.070,-9.800,268.313,-2.000,179.500
7.489,30,-135.000,-40.250,13.563,-0.063,0.563,-0.188,-0.330,-0.030,-9.520,0.000,0.040,0.270,-0.340,-0.070,-9.800,268.313,-2.000,179.500
7.513,30,-135.000,-40.250,13.563,0.688,-1.875,0.063,-0.190,0.010,-9.510,0.150,0.090,0.280,-0.340,-0.070,-9.800,268.313,-2.063,179.500
7.534,30,-135.687,-39.563,13.188,1.188,-2.313,1.250,-0.300,-0.030,-9.600,0.060,0.040,0.190,-0.360,-0.080,-9.790,268.313,-2.063,179.437
7.579,30,-135.000,-39.563,14.000,2.625,-0.375,-0.063,-0.100,-0.060,-9.600,0.260,0.030,0.180,-0.360,-0.100,-9.790,268.313,-2.125,179.375
